# schema source: Upbound AWS Provider v2.6.0 https://github.com/crossplane-contrib/provider-upjet-aws
apiVersion <string> enum=lightsail.aws.m.upbound.io/v1beta1
kind <string> enum=Instance
metadata.name <string> (required)
metadata.namespace <string> (required)
spec <object> (required)	# InstanceSpec defines the desired state of Instance
spec.forProvider <object> (required)
spec.forProvider.addOn <object>	# Add-on configuration for the instance. See below.
spec.forProvider.addOn.snapshotTime <string>	# Daily time when an automatic snapshot will be created. Must be in HH:00 format, and in an hourly increment and specified in Coordinated Universal Time (UTC). The snapshot will be automatically created between the time specified and up to 45 minutes after.
spec.forProvider.addOn.status <string>	# Status of the add-on. Valid values: Enabled, Disabled.
spec.forProvider.addOn.type <string>	# Add-on type. There is currently only one valid type AutoSnapshot.
spec.forProvider.availabilityZone <string>	# Availability Zone in which to create your instance. A list of available zones can be obtained using the AWS CLI command: aws lightsail get-regions --include-availability-zones.
spec.forProvider.blueprintId <string>	# ID for a virtual private server image. A list of available blueprint IDs can be obtained using the AWS CLI command: aws lightsail get-blueprints.
spec.forProvider.bundleId <string>	# Bundle of specification information. A list of available bundle IDs can be obtained using the AWS CLI command: aws lightsail get-bundles.
spec.forProvider.ipAddressType <string>	# IP address type of the Lightsail Instance. Valid values: dualstack, ipv4, ipv6. Default: dualstack.
spec.forProvider.keyPairName <string>	# Name of your key pair. Created in the Lightsail console (cannot use aws_key_pair at this time).
spec.forProvider.region <string> (required)	# Region where this resource will be managed. Defaults to the Region set in the provider configuration. Region is the region you'd like your resource to be created in.
spec.forProvider.tags <map[string]string>	# Key-value map of resource tags.
spec.forProvider.userData <string>	# Single lined launch script as a string to configure server with additional user data.
spec.initProvider <object>	# THIS IS A BETA FIELD. It will be honored unless the Management Policies feature flag is disabled. InitProvider holds the same fields as ForProvider, with the exception of Identifier and other resource reference fields. The fields that are in InitProvider are merged into ForProvider when the resource is created. The same fields are also added to the terraform ignore_changes hook, to avoid updating them after creation. This is useful for fields that are required on creation, but we do not desire to update them after creation, for example because of an external controller is managing them, like an autoscaler.
spec.initProvider.addOn <object>	# Add-on configuration for the instance. See below.
spec.initProvider.addOn.snapshotTime <string>	# Daily time when an automatic snapshot will be created. Must be in HH:00 format, and in an hourly increment and specified in Coordinated Universal Time (UTC). The snapshot will be automatically created between the time specified and up to 45 minutes after.
spec.initProvider.addOn.status <string>	# Status of the add-on. Valid values: Enabled, Disabled.
spec.initProvider.addOn.type <string>	# Add-on type. There is currently only one valid type AutoSnapshot.
spec.initProvider.availabilityZone <string>	# Availability Zone in which to create your instance. A list of available zones can be obtained using the AWS CLI command: aws lightsail get-regions --include-availability-zones.
